1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
2.2.11	cātvāle tu mārjanaṃ pūrvaṃ satreṣv idam āpaḥ pravahatāvadyaṃ ca malaṃ ca yadyarcābhidudrohānṛtaṃ yac ca śepe abhīruṇam āpo mā tasmād enaso duritāt pāntu viśvato nir mā muñcāmi śapathān nir mā varuṇād uta nir mā yamasya paḍviśāt sarvasmād eva kilbiṣāt sumitriyāna āpa oṣadhayaḥ santu durmitriyās tasmai santu yo 'smān dveṣṭi yaṃca vayaṃ dviṣma iti
2.2.12	samrāḍ asīty āhavanīyam upasthāyodañco gatvāstāvacātvālaśāmitrānudaṅmukhāḥ stuto nabhosaṃmṛṣṭa iti
2.2.13	vibhur asīty āgnīdhrīyam upatiṣṭheran
2.2.14	tam uttareṇa saṃcaraḥ sarvatra
2.2.15	dakṣiṇenottarayoḥ savanayor yadā havirdhānam āhavanīyaṃ ca pṛṣṭhahomāya
2.2.16	pūrvasyāṃ sadasā dvāri pratyamukhās tiṣṭhanto vahnir iti hotur dhiṣṇyam
2.2.17	śvātra iti maitrāvaruṇasya
2.2.18	tutha uśigandhārir avasyur iti brāhmaṇāchaṃsiprabhṛtīnām udañcaḥ
2.2.19	tatraiva tiṣṭhantaḥ śundhyur iti mārjālīyam
2.2.20	ṛtadhāmety audumbarīm
2.2.21	samudra iti brahmaṇaḥ sadanam
2.2.22	prajahitam
2.2.23	aja iti gārhapatyam
2.2.24	sagarā iti dakṣiṇāgner āyatanam
2.2.25	kavya iti dakṣiṇaṃ vedyantam
2.2.26	tatraiva tiṣṭhantaḥ sarvān samanvīkṣamāṇāḥ pātameti
2.2.27	ekaikam upasthāyaitad brūyur iti śāṇḍilyo bahuśabdān ekavat kurvantaḥ
2.3.1	raurukīṇi cet kuryur ādityaṃ prathamam upatiṣṭherann adhvanām iti
2.3.2	āhavanīyam upasthāya tam evāpi jo 'si jāyamāna ity api jo 'si navajāta iti vā yam agnim anupracaranti tam abhipretya
2.3.3	yadā cātvālam athotkaran tumulo 'sy ākranda kṛtveti
2.3.4	yadā śāmitram atha yatrovadhyaṃ nikhananty ūvadhyagoho 'si pārthiva iti
2.3.5	yadāgnīdhrīyam atha yatrācchāvāka āsīno hotary upahavam icchaty upahavyo 'si namasya ity upahavyo 'si tanūpā iti vā
2.3.6	yadā brahmaṇaḥ sadanam atha sadasyasya sadasyo 'si 'malimluca iti
2.3.7	yadā dakṣiṇaṃ vedyantam atha prājāpatyam asīti patnīśālām aindram asīti sado vaiṣṇavam asīti havirdhānam aindrāgnam asīty āgnīdhrīyaṃ vaiśvadevam asīti vā
2.3.8	atha tathaiva samastena sarve stha somyāsaḥ sarve somaṃ pibata sarve somasya pītim ānaśadhve pātam eti samānaṃ param
2.3.9	ṛtasya dvārau stha ity aparau dvārabāhū saṃmṛjya mā mā saṃtāptam iti praviśeyuḥ
2.3.10	dakṣiṇenaudumbarīṃ gatvā tasyā uttarata upaviśeyur namaḥ sakhibhyaḥ iti
2.3.11	pūrveṇa prastotāraṃ pratihartā gacched etasyām
2.3.12	etasyāṃ velāyāṃ samupahvayeran
2.3.13	sarve satreṣu
2.3.14	mitho 'nyatra
2.3.15	sarve yajamānam
2.3.16	dvārabāhusaṃmārjanaprabhṛty etat sarvaṃ kuryur yadā dhiṣṇyān upatiṣṭheran
2.3.17	yājamānabrahmatve ced udgātā kuryād āgnīdhrīyam upasthāya pūrveṇa parikrāmet
2.3.18	sādasān upasthāya tata evekṣamāṇaḥ pātnīśālān
2.3.19	itarathetarau
2.4.1	ṛtasya dvārau stha iti pūrveṇa dvārabāhū saṃmṛjya dakṣiṇasya purastād udaṅmukha upaviśed iti dhānañjapyaḥ
2.4.2	paścāt pratyaṅmukha iti śāṇḍilyaḥ
2.4.3	ukte praveśanopaveśane
2.4.4	ṛtvikpathena gatvā samastopasthānaprabhṛti samānam
2.4.5	dakṣiṇārdhe tu sadasaḥ pūrvam upaveśanaṃ prastotuḥ pratyupaveśanaṃ brahmopaveśanena nirastaḥ parāvasur iti dakṣiṇātṛṇṇaṃ nirasyed ā vasoḥ sadane sīdāmīty upaviśet
2.4.6	bhūr bhuvaḥ svar bṛhaspatir brahmāhaṃ mānuṣa ity uktvaudumbarīṃ gatvopaviśet
2.4.7	anūpaviśetām itarau
2.4.8	etenānupūrveṇa sarvaṃ yathāsanaṃ cikīrṣet
2.4.9	glāyec ced adhyaudambaryeva
2.4.10	sadasya evam eva dhiṣṇyān upatiṣṭhan brahmāṇam anupraviśed brāhmaṇācchaṃsinaṃ vā
2.4.11	tenāsya samupahavaḥ syād bhakṣaś ca samānaḥ
2.4.12	bībhatseyātāṃ cen nānācamasau syātām
2.4.13	sarpatsu na śūnyaṃ sadaḥ kuryāt
2.4.14	tasya dadhibhakṣāntaṃ karma
2.4.15	sa nivarteta satreṣu
2.4.16	visaṃsthite savane pūrvayā dvārāntareṇa hotur dhiṣṇyaṃ maitrāvaruṇasya ca saṃcaraḥ
2.4.17	tad yathetaṃ tad yathetaṃ
2.5.1	camasaṃ pratigṛhya prastotā dakṣiṇa ūrāv ādhāya dakṣiṇena pāṇināpidhāyāsīta
2.5.2	upahūyamānāyām iḍāyām anūpadhārayed anupaghnan
2.5.3	vaṣaṭkartur anubhakṣaṃ sarvatra bhakṣayeyur mitha upahūya
2.5.4	udgātā prathamaḥ
2.5.5	dakṣiṇam anu bāhuṃ daṇḍaṃ kṛtvā śyena ity avekṣyendav iti dvir alpaṃ bhakṣayed yathāsavanaṃ chandāṃsy ādiśan
2.5.6	ūrdhva iti mukhyān prāṇān abhimṛśeta soma rārandhīti hṛdayaṃ soma gīrbhir iti nābhim
2.5.7	evam itarau kuryātām
2.5.8	pratihartā paścāt
2.5.9	taṃ sa āpyāyayed abhimṛśyāpyāyasveti
2.5.10	sarve vaitayā gāyatryā
2.5.11	tāṃ tṛtīyasavane dvir brūyuḥ saṃ te payāṃsīti mādhyandine
2.5.12	gāyatryaivānusavanam āpyāyanam iti śāṇḍilyaḥ
2.5.13	dvitīyāḥ savaneṣu nārāśaṃsāḥ pūrvayoś ca tṛtīyau
2.5.14	teṣām anavekṣya bhakṣaṇam avamair iti prātaḥsavana aurvair iti mādhyandine kāvyair iti tṛtīyasavane
2.5.15	pitṛbhir iti sarvatrānusaṃharet
2.5.16	pratyabhimarśane yathākāmī
2.5.17	prathamadvitīyau pūrvayoḥ savanayor āpyāyayet prathamaṃ tṛtīyasavane
2.5.18	āvarttiṣu tṛṇe pratigṛhya prastotā prayacched yathā prastaram
2.5.19	anāhriyamāṇayor na mantraṃ jahyāt
2.5.20	tathaiva jaṅghām upahatya yuñjyāt stomaṃ dīkṣāyai tapaso manaso vāca iti nānā dhānañjapyo yatrānantarāṇi catvāri
2.5.21	antaḥ sarveṣāṃ prajāpatis tveti
2.5.22	uttaram uttaraṃ lupyetālpīyaḥsu
2.5.23	prathamena vājapeyasāmno yuñjyāt
2.5.24	prabhṛtīni rātrau
2.5.25	tathātiriktastotreṣu
2.5.26	sarvair ekaikaṃ yathāmnāyaṃ śāṇḍilyaḥ
2.5.27	āvartinyāyaḥ sandhau
2.5.28	upavasathye 'hani na samāmaneran
2.6.1	prastotā tu kuśāḥ kārayed yajñiyasya vṛkṣasya khadirasya dīrghasatreṣv eke prādeśamātrīḥ kuśāḥ pṛṣṭhāstvaktaḥ samāmajjato 'ṅguṣṭhaparvapṛthumātrīḥ prajñātāgrāḥ kārayitvā gandhaiḥ pralipya sarpiṣā satreṣv eke vaiṣṭutena vasanena pariveṣṭya kṣaumaśāṇakārpāśānāṃ kenacid upary audumbaryā vāsayet
2.6.2	tāṃ śvobhūte kuśair ūrdhvāgrair veṣṭayitvaivaṃjātīyenaiva vasanena pradakṣiṇam ūrdhvadaśena pariveṣṭy spṛṣṭo 'napaśrita udgāyet
2.6.3	dhṛṣṭam apaśrayetety eke
2.6.4	stoṣyamāṇānāṃ madhye vaiṣṭutaṃ vasanaṃ prāksamāsaṃ vodaksamāsaṃ vā uparidaśam āstīrya prastotā kuśā vidadhyāt prastāvānteṣu
2.6.5	ādye 'neka prastāveṣu
2.6.6	udagagraṃ prathamaṃ viṣṭāvaṃ prāksaṃsthaṃ pratyag vā
2.6.7	taṃ paścimena madhyadeśenodaksaṃsthaṃ prāgagraṃ pratyag vā
2.6.8	taṃ paścimenodagraṃ pratyaksaṃstham evaṃvidhāḥ paryāyā uttarottarāḥ
2.6.9	paryāyaviṣṭāvān saṃdadhyāt
2.6.10	paryāyādiṣu hiṃkāreṇa stuvīran
2.6.11	uttamāṃ prastutyaiṣeti śaṃsitāram īkṣeta
2.6.12	stutasya stutam asīti yajamānavācanam
2.6.13	savanasaṃsthāsu praśāstrokto yathetam aparayā dvārā niṣkramya paścimenāgnīdhrīyaṃ bahirvedi mūtraṃ kuryuḥ
2.6.14	vācaṃ yaccheyur yāvad udakyāḥ syuḥ
2.6.15	etan mṛgatīrtham
2.6.16	tena na bhūyaḥ śamyāparāsād gaccheyuḥ
2.6.17	yo bhūyo jigamiṣed āpnānena sa gacchet
2.7.1	atha dhiṣṇyān upatiṣṭheran samastenottarayoḥ savanayor iti gautamaśāṇḍilyāyanau
2.7.2	sarveṇeti dhānañjapyaḥ
2.7.3	anupasthānaṃ śāṇḍilyaḥ
2.7.4	evam eva niṣkramya pṛthak stotrebhyaḥ samastenopatiṣṭheran yāny ūrdhvamm ukthebhyaḥ
2.7.5	paryāyebhyas tu rātreḥ
2.7.6	yathāsanam upaviśya prastotā havirdhānaṃ gacchen madhyandine
2.7.7	huta ādityagrahe pratihartārbhave
2.7.8	ubhayatra sarve satreṣu
2.7.9	pavamānayor uttarayor dhiṣṇyaviharaṇe mārjīlīyaṃ harantaḥ paścimena yajamānaṃ hṛtvā tenaiva pratihareyuḥ
2.7.10	madhyandinena stutvā satreṣu dadhigharmasya bhakṣayeyuḥ samupahūya dadhikrāvṇa iti
2.7.11	tasyā uttamaṃ padaṃ daśame 'hany abhyasyeyuḥ
2.7.12	pūrveṇa patnīśālām antareṇāgnīdhrīyaṃ sadaś ca dakṣiṇā nayeyus tīrthena
2.7.13	sarvāsāṃ devasya tveti purastājjapaḥ
2.7.14	varuṇas tveti yathādevataṃ pratigṛhṇīyāt
2.7.15	yathājāti mṛgān
2.7.16	aprāṇac ca
2.7.17	puṃvan mithunāny anyatrājābhyaḥ
2.7.18	tena ka idam ity upariṣṭājjapaḥ
2.7.19	tatrohāpādīni tvā devi dakṣiṇe 'da iti ca yat tat syāt tena dātra idam āviśaitat ta iti ca bhuñjatīti ca bhūyāddhiṃsīr iti ca
2.7.20	aśvarathaṃ ced dadyāt pūrveṇāgnīdhrīyam avasthāpya purastājjapaṃ japitvā darbhamuṣṭināśvamukhāni saṃmṛjyād dvābhyāṃ dvābhyām aśvanāmābhyām ekaikasyāśvo 'sīty etatprabhṛtibhir udaksaṃstham iti dhānañjapyaḥ
2.7.21	dhuryau prathamam ity aparam
2.7.22	dakṣiṇaṃ pūrvam
2.7.23	tathā praṣṭī
2.7.24	sarvāṇy ekaikasmin udaksaṃstham iti śāṇḍilyaḥ
2.7.25	sarvāṇy ekasmiṃs tūṣṇīm itarāṇīty aparam
2.7.26	etāny evāśvāśvatareṣv aśvatarīṣu ca yathārtham ūhet
2.7.27	tribhiś ced ardhāny ekasminn ardhāni dvayor dvaidhaṃ dvayoḥ
2.8.1	ādityānām iti rathaśira ālabhya japet
2.8.2	yad rathyaṃ syād vāyor iti carmaṇyaṃ pratigṛhṇīyāt
2.8.3	nakṣatrāṇām ity asthimayam
2.8.4	sūryasyety ayolohe
2.8.5	hiraṇyaṃ ca
2.8.6	dakṣiṇena rathaṃ gatvā rathantaram asīti dakṣiṇaṃ cakram ālabhet
2.8.7	vāmadevyam asīty adhiṣṭhānam
2.8.8	bṛhad asīty uttaraṃ cakram
2.8.9	aṅkānyaṅkū iti cakre eva saṃmṛjyāt
2.8.10	vaiśvānara iti dakṣiṇena pādenārohet
2.8.11	āruhya japed gidaiṣata iti
2.8.12	kṛśeti savyān abhīśūn āyacchet
2.8.13	dāseti dakṣiṇān avagṛhṇīyāt
2.8.14	avaruhya sakṛd vāruṇam uktvā yathādevatam ādiśyopariṣṭājjapaṃ japed iti gautamaḥ
2.8.15	saṃmārjanaprabhṛty etat sarvaṃ kṛtvā vimucya nānā purastājjapopariṣṭājjapau vāruṇam aśvebhyo rathāya ceti dhānañcapyaḥ
2.8.16	glāyec ced yathāsanaṃ va tat sarvaṃ japet
2.8.17	pṛṣṭhyaṃ ced dadyāt prāg vāruṇād aśvanāmāni japet
2.8.18	purastājjapād vā
2.8.19	tathādānteṣu
2.8.20	yad rathyaṃ syāt tena tat pratigṛhṇīyāt
2.8.21	annasyeti prāg vāruṇād aveḥ
2.8.22	purastājjapād vā
2.8.23	gnās tvā kṛtaṃ niti vasanasya
2.8.24	tadudasyedatāntave
2.8.25	hiraṇyam alpīyo bhogād āgacched audumbaryām āśleṣayet
2.8.26	āgnīdhrīye vā juhuyāt
2.8.27	samastān vrīhiyavān ekakratau pratigṛhṇīyāt
2.8.28	tathā tilamāṣān
2.8.29	prājāpatyenānādiṣṭadevatāḥ pratigṛhṇīyāt
2.8.30	tūṣṇīm ayajñe dakṣiṇā iti dhānañjapyaḥ
2.8.31	bhūr bhuvaḥ svar iti gautamaḥ
2.8.32	om iti vom iti vā
2.9.1	pūrvaṃ nārāśaṃsaṃ bhakṣayitvāhavanīye prastotā pṛṣṭhahomaṃ juhuyād yat pṛṣṭhaṃ syāt tad ādiśyādaḥ pibatu somyaṃ madhv āyur dadhad yajñapatāv avihrutam imaṃ yajñam abhisaṃvasānāhotrās tṛpyantu sumanasyamānāḥ svāheti pūrvam
2.9.2	svāhākāreṇottarām
2.9.3	dvaidhaṃ juhuyād iti dhānañjapyo 'daḥ pibatu somyaṃ madhv āyur dadhad yajñapatāv avihrutaṃ svāheti pūrvām imaṃ yajñam ity uttarām
2.9.4	hotṛkapṛṣṭhebhya iti
2.9.5	revatīṣu vāravantīyam iti ṣaṣṭhe pṛṣṭhādeśaṃ gautamo mahāvratam iti vrate
2.9.6	revatyaṃ ca vāravantīyaṃ ceti dhānañjapyo yāvanti pṛṣṭhasthāni syuḥ sarvāṇy eva prasaṃcakṣīta pibatu dadhad iti ca yathārtham ūhet
2.9.7	bṛhatā rathantareṇa vā stoṣyamāṇaḥ prāk stomayogād daśa vyāhṛtīr manasā dhyāyed airam iti
2.9.8	rathantara evarcaṃ yas te goṣv iti
2.9.9	yuktvā stomam etad brūyād iti śāṇḍilya ṛcaṃ pūrvyaṃ vyāhṛtibhya iti
2.9.10	itaraṃ dhānañjapyam
2.9.11	rathantare prastūyamāne sarvatra saṃmīlet
2.9.12	ekaikaṃ manasākṣaraṃ stobhair vācā saṃyuñjyāt prathamasvarair akārair bhakārādibhir akrāntair dvitīyasvarottamaiḥ
2.9.13	etad yathādhītam ity ācakṣate
2.9.14	prāk pratihārāc catukṣaraṃ śiṣṭvā tat sarvatra prativīkṣeta
2.9.15	stutvā varaṃ codayet
2.9.16	tasyāpṛṣṭhasya sato nivarteran dharmāḥ
2.9.17	sahastomair iti gautamaḥ
2.9.18	stobhā evānviyur iti dhānañjapyaḥ
2.9.19	agniṣṭomasāmasandhisāmnor evāpṛṣṭaṃ stobhed iti śāṇḍilyaḥ
2.9.20	sarvatrāsvastotrīyaṃ na stobhed iti sthaviro gautamaḥ
2.10.1	vāmadevyena stoṣyamāṇaḥ prāk stomayogād gāvo aśvā ajā vayo vrīhayo yavā iti manasā dhyāyet
2.10.2	brahmasāmni yaḥ kāmo yajamānasya syāt sa sidhyatv iti dhyāyann upāsīta
2.10.3	tathetara udgāyan
2.10.4	ārbhaveṇa stutvā puroḍāśād ekaikaṃ piṇḍaṃ trīṃs trīn vāparayā dvārā havirdhānaṃ prapadyādhastāt svasya camasasya kuryur yadāsannaḥ syād atra pitaro mādayadhvaṃ yathābhāgam āvṛṣāyadhvam iti
2.10.5	tam āhriyamāṇaṃ pratimantrayerann amīmadanta pitaro yathābhāgam āvṛṣāyiṣateti
2.10.6	somyam āhṛtam udgātāvekṣetāyur me prāṇa iti
2.10.7	punar asmāsu dadhmasīty antaḥ
2.10.8	taṃ daśame 'hany abhyasyeyuḥ
2.10.9	yan me yamam ity eke
2.10.10	pūrveṇa tv evāvekṣeta
2.10.11	tasminn aṅguṣṭhānāmike avadhāyākṣiṇī vimārjīta yenā hy ājim iti
2.10.12	evam itarau kuryātām
2.10.13	pratihartā paścāt
2.10.14	tam uttareṇa pratihartāraṃ hareyuḥ
2.10.15	yajñāyajñīyasya hiṃkāraṃ prati patnīm udgātekṣeta
2.10.16	nidhanaṃ prati patnī dakṣiṇam ūrum abhiṣiñcet
2.10.17	tṛtīyāyāṃ stotrīyāyāṃ prastutāyāṃ sarvaṃ tad udakaṃ ninayet
2.10.18	uttamāyāṃ stotrīyāyāṃ bhuvadvājāyibhuvadvājeṣv ity abhyasyennāmiti ca nidhanam anuṣṭubham uttamām akṣareṇāntata iti hy āheti
2.10.19	anabhyāsaṃ tv ācāryā nidhanaṃ ca yathāmnāyaṃ śāṇḍilyaḥ
2.10.20	tad yadānuśaṃsan hotāpohiṣṭhīyā brūyāt tadainam anvālabherann apāvṛṇvānāḥ
2.10.21	anyat sthānagatasya nivarteran dharmāḥ
2.10.22	yad anyad agniṣṭomasāma syāt tasya syuḥ
2.10.23	ahiṃkāre tu pratihāravelāyāṃ patnīm udgātekṣeta
2.10.24	anubrāhmaṇam ārcikān saṃnāmān sarvatra kuryād apy anyasmin sāmni
2.11.1	tṛtīyasavane sarveṣu stotreṣu samāpteṣu bhakṣayitvā stomaṃ vimuñceyur ṛtasya tveti
2.11.2	dakṣiṇaiḥ pāṇibhiḥ kuśāḥ saṃlobhayeyuḥ
2.11.3	yajamānavācanād anantaram atra vā yajamānaṃ vācayet taṃ tavemā jyotiṣety asāv anumātanu hi jyotiṣeti yathājyeṣṭhaṃ putrāṇāṃ nāmāni gṛhṇīyāt
2.11.4	janiṣyamāṇā ity ajāteṣu
2.11.5	jāteṣv ajāteṣu ca putrā ity eva satreṣu
2.11.6	vaṣaṭkṛte hāriyojanasya yathetam aparayā dvārā niṣkrāmanto japeyuḥ somehīti
2.11.7	subhūr asīty ādityam upatiṣṭheran
2.11.8	astamitaś ced gārhapatyam
2.11.9	āgnīdhrīye dve āhutī juhuyur apāṃ puṣpam iti pūrvāṃ svāhākāraṇottarām
2.11.10	hāriyojanyo nāma dhānā droṇakalaśe bhavanti tāsām udgātā prathama ādadānaḥ samupahūtā bhakṣayiṣyāma iti brūyāt
2.11.11	tathetarau
2.11.12	unnetary upahavam iṣṭvā hāriyojanasya ta iti tirohyasyety atirātre yathādhītaṃ vā sarvatra dvir upaghrāya paścād āhavanīyasyāntaḥ paridhi nivapeyuḥ
2.11.13	anuprahṛteṣu bhasmānte
2.11.14	apa upaspṛśyāṣṭāv aṣṭau śakalāny āhavanīye prahareyur devakṛtasyety etatprabhṛtibhir ikārāntaiḥ
2.11.15	sakṛd eva sarvāṇy uttameneti śaucivṛttiḥ
2.11.16	apsu ṣomā nāma camasāś cātvāladeśe 'dbhiḥ pūrṇās teṣu haritāni tṛṇāni prāstāni bhavanti
2.11.17	te svaṃ camasauṃ paryupaviśyāpsu dhautety avamṛśya japeyuḥ
2.11.18	madhumantam iti pāṇīn upajighreran
2.11.19	śam adbhya ity udañcaṃ camasaṃ ninayeyuḥ
2.11.20	kāmety abhyātmam āvartayeyuḥ
2.11.21	ūrg ity uraḥsu pāṇīn nidadhīran
2.11.22	prāṇasometi mukhyān prāṇān abhimṛśeran
2.11.23	āgnīdhrīyaṃ gatvā dadhibhakṣaṃ bhakṣyeyur asamupahūya dadhikrāvṇa iti
2.12.1	agniṣ ṭapatīty avabhṛthasāma
2.12.2	tasyāvṛd yathā prathamasya pravargyasāmnaḥ
2.12.3	sarva ṛtvijo nidhanam upeyuḥ
2.12.4	iṣṭāhotrīyam abhiṣecanīye
2.12.5	samasyeti vā
2.12.6	aśvatrirātre nānāvabhṛthāny ahāni
2.12.7	teṣāṃ prathamasya sanād agra ity avabhṛthasāma
2.12.8	yad vā uviśyatir iti dvitīyasya tyagnāyir iti vā
2.12.9	avabhṛthe 'ṣṭau saṃsthitāyām avabhṛtha nicumpuṇa nicerur asi nicumpuṇāva devair devakṛtam eno yāsiṣam ava martyair martyakṛtaṃ pururāvṇo deva riṣas pāhīty apa upaspṛśya trir abhyukṣeran
2.12.10	ādityam upatiṣṭherann ud vayaṃ tamasas pari jyotiḥ paśyanta uttaraṃ svaḥ paśyanta uttararaṃ devaṃ devatrā sūryam aganma jyotir uttamam iti
2.12.11	astamitaś ced āhavanīyam
2.12.12	tasmin samidha ādadhyur edho 'sy edhiṣīmahīti prathamāṃ samid asi samedhiṣīmahīti dvitīyāṃ yad enaś cakṛmā vayaṃ yad vānyakṛtam ārimānayā samidhā vayaṃ sarvaṃ tad apamṛjya ha iti tṛtīyām
2.12.13	tam evopatiṣṭherann apo adyānvacāriṣaṃ rasena samaganmahi payasvān agna āgamantaṃ mā saṃsṛja varcaseti
2.12.14	prāg udayanīyād atirātrād apsu ṣomāntam ahaḥ satreṣu
2.12.15	dadhibhakṣāntam ahīneṣu
2.12.16	yāvanty ahāni rājānaṃ bhakṣayeyus tāvat svabrāhmaṇyocchiṣṭaṃ na dadyur adbhir vā prokṣya dadyuḥ
2.12.17	tad eṣa ślokaḥ somam etat pibata yat kiṃcāśṇīta brāhmaṇā mā brāhmaṇāyocchiṣṭaṃ dātam āyāt somam asomapa iti
2.12.18	evaṃ parikramaṃ sarvakratuṣu vidyāt sarvakratuṣu vidyāt
3.1.1	ṣoḍaśisāmnā stoṣyamāṇo yathāsanam upaviśya havirdhānaṃ gatvā ṣoḍaḍaśigraham avekṣetodgātā yasmād anya iti
3.1.2	evameva prātaḥsavane
3.1.3	yadi cottarayor api gṛhṇīyuḥ
3.1.4	aśvaḥ kṛṣṇaḥ pūrvasyāṃ sadasodvāri pratyaṅmukhas tiṣṭhed iti dhānañjapyaḥ
3.1.5	aparasyāṃ prāṅmukha iti śāṇḍilyaḥ
3.1.6	kṛṣṇābhāve śyāvaḥ
3.1.7	tadabhāve yaḥ kaścāśvaḥ
3.1.8	gaur vājīvāśvābhāve
3.1.9	yo yaḥ sāmāṅgaṃ brūyāt sa hiraṇyaṃ dhārayet
3.1.10	udgātā nidhanam upayatsu
3.1.11	sarve vābhimṛśeyuḥ
3.1.12	avasarpati prathamaṃ paryāyaṃ gāyecchannam
3.1.13	viṣite dvitīyaṃ madhyena
3.1.14	astamite tṛtīyam āviḥ
3.1.15	yadopākuryuḥ stuvīrann eva
3.1.16	ahani channaṃ rātrāv āviḥ
3.1.17	udgātre dadyād aśvahiraṇye dakṣiṇāvatsu
3.1.18	satra eva grahasya bhakṣayeyur aindraṃ saha ity udasya harivadaharikāsu cet stuvīran
3.1.19	anuṣṭup chandasā camasasya
3.1.20	pūrveṇa vā
3.1.21	tathā kurvann indraś ca samrāḍ varuṇasya rājā tau te bhakṣyaṃ cakratur agra evaṃ tayor aham anubhakṣyaṃ bhakṣyāmi vāg juṣāṇā somasya tṛpyatv iti grahasya
3.1.22	indram iti vā vāg devī somasya pibatv ity etad adhikayā
3.1.23	aindraṃ saha iti camasasya sattre triṣṭupchandasā vājapeyasāmni bhakṣayed iti gautamaḥ
3.1.24	anuṣṭupchandaseti dhānañjapyaśāṇḍilyau
3.1.25	anuṣṭupchandasā rātrau
3.1.26	pṛthak tṛcebhyaḥ saṃdhau hiṃkuryuḥ
3.1.27	iṣṭayajuṣa iti bhakṣyaḥ
3.1.28	gāyatrachandasātiriktastotreṣv iti gautamaḥ
3.1.29	pṛthagbhakṣachandobhir anupūrvam iti dhānañjapyaśāṇḍilyau
3.1.30	anuṣṭupchandasā vā
3.1.31	achandasā vā
3.1.32	saṃdhivad vā
3.2.1	āhitāgnir asomayājī paraṃ somena yājayitvā paribhakṣaṃ kurvīta
3.2.2	somayājy apīti śāṇḍilyaḥ
3.2.3	hutāyāṃ prātarāhutāv ājyaṃ gārhapatye 'dhiśrityodag udvāsayet
3.2.4	kaṃse camase vā drapsān avadhāya dakṣiṇāgnāv apasādayet
3.2.5	sphyadarbhamuṣṭī ca
3.2.6	paścimena gārhapatyaṃ gatvā paścād āhavanīyasyopaviśya sruveṇa srucy ājyaṃ gṛhṇīyād yāvad gṛhītī syāt
3.2.7	taj juhuyād imām agne śaraṇiṃ mīmṛṣo na imam adhvānaṃ yam agāma dūram āpiḥ pitā pramatiḥ somyānāṃ bhrimir aspṛṣi kṛnmatyānāṃ svāheti
3.2.8	evam eva gṛhītvāpāṃ puṣpam asty oṣadhīnāṃ raso 'gneḥ priyatamā tanūr indrasya priyatamaṃ chaviḥ svāheti
3.2.9	ājyasya pūrvān grahān gṛhītvā dadhna uttamaṃ viśvebhyo devebhyaḥ svāheti
3.2.10	dadhiśeṣaṃ srucy ānīyodaṅṅ āvṛtya prāśnīyāt tava soma vrate vayaṃ manas tanūṣu piprataḥ prajāvanto aśīmahīti
3.2.11	prakṣālya srucaṃ yathetaṃ pratyāvrajya prācīnāvītī bhūtvā dakṣiṇā dakṣiṇāgneḥ sthaṇḍilaṃ samuhyādbhiḥ saṃprokṣya sphyena sakṛd ullikhyolmukam upanidhāya darbhān upastīryāpa upaninīyāmīṣāṃ drapsānāṃ nipṛṇuyād avamebhyaḥ pitṛbhyaḥ svadhā saha bhakṣebhya iti prathamam
3.2.12	aurvebhyaḥ kāvyebhya ity evam eva dakṣiṇā pṛthak
3.2.13	atra pitaro mādayadhvaṃ yathābhāgam ity uktvodāvartetāsitvā yāvan manyeta tāvad abhiparyāvartamāno japed amī madanta pitaro yathābhāgam anantaritāḥ pitaraḥ somapīthād iti
3.2.14	tān darbhān drapsāṃś ca dakṣiṇāgnau praharet
3.3.1	yajñopavītī bhūtvāpa upaspṛśya gṛhān vrajañ japed gṛhā mā bibhīta mā vepiḍhvam ūrjaṃ bibhrata evam asy ūrja bibhrad vaḥ sumanāḥ sumedhā gṛhān emi manasā daivena yeṣām adhyeti prasavasanneṣu saumanaso bahur gṛhān upahūyāmahe teno jānantu jāna upahūtā isa gāva upahūtā ajāvayo 'tho annasya yo rasa upahūto gṛheṣu na iti
3.3.2	paścācchālāgner upaviśya japed iha gāvaḥ prajāyadhvam ihāśvā iha puruṣā iho sahasradakṣiṇo 'pi pūṣā niṣīdatv iti
3.3.3	agnes tṛṇāni pratyuhya yaḥ suhṛt tam abhibhāṣeta
3.3.4	goṣu gā api sṛjed upedam upaparcanam āsu goṣūpṛcyatām uparṣabhasya retasy upendra tava vīrya iti
3.3.5	sattreṣu sarvān adhvaryur dīkṣayet
3.3.6	dīkṣiṣyamāṇān darśayet svasty ātreyam arundhatīṃ dhruvam udapātraṃ ya eṣo 'kṣiṇi puruṣo dṛśyate
3.3.7	naitāni parāsuḥ paśyatīti
3.3.8	tān na dīkṣayet
3.3.9	dīkṣiṣyamāṇāḥ saṃvaderan saha naḥ sādhukṛtyā nānā pāpakṛtyā yāsmin sattre
3.3.10	atha yat purā cakṛma kartāsmaśca yathopasthitam eva nas tad iti
